3004,4840,-14428,-1449,2240,-4055,swipe_left,4
-6236,2596,-17112,5375,-1707,-12552,swipe_left,4
-5988,-496,-17376,947,28,-1231,swipe_left,4
-3952,972,-16728,-470,2064,1263,swipe_left,4
-3308,1128,-16936,-881,1233,698,swipe_left,4
-3520,884,-16920,-430,432,-212,swipe_left,4
-3772,1048,-16936,-475,955,247,swipe_left,4
-3396,1412,-16876,-452,850,358,swipe_left,4
-3288,1732,-16896,-104,816,-1,swipe_left,4
-3528,1392,-17228,-392,736,54,swipe_left,4
-3364,1600,-17248,-563,745,76,swipe_left,4
-3196,1564,-16708,-425,784,-150,swipe_left,4
-3464,1620,-17120,-589,908,-9,swipe_left,4
-3280,1544,-17236,-314,382,41,swipe_left,4
-3408,1660,-17160,-768,664,-42,swipe_left,4
-3092,1792,-16716,-402,834,81,swipe_left,4
-2768,3204,-16752,-361,931,183,swipe_left,5
-2792,3248,-16816,-478,1004,264,swipe_left,5
-2692,3136,-16924,-316,963,470,swipe_left,5
-2420,3328,-17180,-142,613,366,swipe_left,5
-2880,3492,-17188,-747,621,497,swipe_left,5
-1556,3528,-16800,-778,1026,616,swipe_left,5
56,3900,-16292,-576,841,-3551,swipe_left,5
-2024,2088,-15644,2722,-1606,-9961,swipe_left,5
-6964,-212,-16916,5002,-1964,-9207,swipe_left,5
-5696,-2164,-17696,932,244,-1627,swipe_left,5
-4568,-916,-16712,-996,1229,738,swipe_left,5
-4136,-644,-16772,-791,1174,341,swipe_left,5
-4412,-608,-16656,-541,881,-20,swipe_left,5
-3932,-428,-16820,-710,1317,417,swipe_left,5
-3920,-300,-16944,-818,1090,48,swipe_left,5
-3888,-180,-16696,-1048,1263,421,swipe_left,5
-3560,424,-16744,-1355,1554,921,swipe_left,5
-3752,996,-16928,-983,496,478,swipe_left,5
-3668,704,-17656,-2213,2354,1484,swipe_left,5
-2860,1824,-17032,-2346,-1361,1083,swipe_left,5
-2784,4288,-16720,-659,61,1755,swipe_left,6
-3424,4464,-15968,461,930,881,swipe_left,6
-2364,4912,-16780,1361,963,1479,swipe_left,6
-2904,4072,-16856,3,341,386,swipe_left,6
-2584,4376,-16584,-211,597,573,swipe_left,6
-2736,4412,-16404,-476,1098,538,swipe_left,6
-2624,4780,-16388,-25,1974,742,swipe_left,6
-2388,4368,-16888,-241,1570,854,swipe_left,6
332,4624,-17496,145,-578,780,swipe_left,6
2592,5084,-14500,117,-340,-7022,swipe_left,6
-7596,2264,-16640,2047,-2021,-13399,swipe_left,6
-5664,108,-16980,-1673,1079,190,swipe_left,6
-3576,2292,-16436,-988,1780,577,swipe_left,6
-4212,2892,-16812,-698,1401,138,swipe_left,6
-3932,2668,-16072,-813,1418,-47,swipe_left,6
-3768,2544,-16892,-871,1298,-126,swipe_left,6
-3760,2836,-16604,-463,1382,295,swipe_left,6
-3368,3064,-16676,-640,1152,475,swipe_left,6
-3340,2960,-16744,-399,709,-59,swipe_left,6
-3356,3028,-16824,-231,602,140,swipe_left,6
-3680,3904,-16132,-1749,524,3612,swipe_left,7
-2376,3468,-16400,-528,753,3137,swipe_left,7
-2652,4084,-16736,1013,1392,2270,swipe_left,7
-1536,3800,-17068,-483,1748,3007,swipe_left,7
-1216,4240,-16728,-448,674,989,swipe_left,7
-1672,4264,-16936,-676,611,-95,swipe_left,7
-1572,4160,-16668,-472,740,-52,swipe_left,7
-1768,4252,-16668,-324,616,-54,swipe_left,7
-1668,4536,-16964,-218,736,-120,swipe_left,7
-820,4868,-16752,-460,446,-658,swipe_left,7
1836,4284,-16644,-409,-36,-4156,swipe_left,7
-3044,3296,-15568,2823,450,-14185,swipe_left,7
-6732,12,-17132,981,1559,-3350,swipe_left,7
-4152,1360,-17656,-2,1207,610,swipe_left,7
-3208,1776,-16680,-1293,1245,629,swipe_left,7
-3164,2136,-16952,-192,996,-129,swipe_left,7
-3376,1832,-16936,-886,930,16,swipe_left,7
-3208,2168,-16640,-487,1074,152,swipe_left,7
-3032,2320,-17084,-465,880,-46,swipe_left,7
-3212,1992,-17036,-297,608,-132,swipe_left,7
-2092,3588,-16944,-520,658,-93,swipe_left,8
-2180,3840,-16820,-327,751,318,swipe_left,8
-2176,3740,-16976,-149,656,3,swipe_left,8
-1868,3552,-17008,-302,770,115,swipe_left,8
-1988,3492,-17072,-200,438,332,swipe_left,8
-1920,3704,-16808,-251,606,219,swipe_left,8
-1976,3664,-16812,-296,663,129,swipe_left,8
-1848,4124,-17020,-211,754,121,swipe_left,8
1428,3432,-17624,-915,125,-1266,swipe_left,8
-2588,3600,-16252,1517,-1002,-10654,swipe_left,8
-6764,1788,-16596,1531,869,-6110,swipe_left,8
-4072,608,-18396,-656,1157,501,swipe_left,8
-2600,2136,-16576,-963,757,787,swipe_left,8
-2748,2080,-16948,-229,844,240,swipe_left,8
-2952,2452,-17192,-671,755,-118,swipe_left,8
-2840,2292,-16792,-465,796,125,swipe_left,8
-2824,2296,-17112,-507,884,404,swipe_left,8
-2580,2468,-16896,-295,851,179,swipe_left,8
-2620,2360,-17000,-94,506,103,swipe_left,8
-2732,2600,-16928,-311,712,82,swipe_left,8
-2936,3068,-16828,-371,239,134,swipe_left,9
-2836,3180,-16800,-311,607,554,swipe_left,9
-2892,2960,-16960,-131,756,9,swipe_left,9
-2872,3132,-16940,-249,797,17,swipe_left,9
-2656,3096,-16700,-271,590,114,swipe_left,9
-2880,3096,-16904,-119,809,-187,swipe_left,9
-2712,3168,-16848,-309,941,554,swipe_left,9
-1588,3052,-17484,-445,1691,8,swipe_left,9
-52,3376,-16328,-1807,1447,-3663,swipe_left,9
-1916,3048,-16248,716,-157,-8371,swipe_left,9
-5452,976,-16344,1235,-80,-5755,swipe_left,9
-4612,20,-17324,531,845,-1234,swipe_left,9
-3908,832,-17116,-1105,1058,411,swipe_left,9
-3668,1280,-16628,-856,1180,577,swipe_left,9
-3592,1520,-17048,-534,876,174,swipe_left,9
-3256,1204,-16816,-671,954,310,swipe_left,9
-3432,1904,-16888,-710,1182,175,swipe_left,9
-3136,1748,-17308,-196,747,286,swipe_left,9
-3324,1844,-16904,-552,890,283,swipe_left,9
-2976,1504,-16964,18,952,-81,swipe_left,9
-2388,2532,-17008,-332,513,-93,swipe_left,10
-2796,2436,-16968,-158,259,-133,swipe_left,10
-2692,2688,-17016,-149,568,-92,swipe_left,10
-2720,2572,-16968,-298,996,237,swipe_left,10
-2368,2540,-17100,-324,901,328,swipe_left,10
-2484,2324,-17152,-252,532,-14,swipe_left,10
-2376,2368,-17064,-259,589,191,swipe_left,10
-2328,2560,-17112,-507,582,-58,swipe_left,10
-1492,3000,-17340,-1446,763,-1811,swipe_left,10
-1060,2976,-16360,-853,797,-6376,swipe_left,10
-3856,1380,-16864,645,1421,-6940,swipe_left,10
-5240,424,-16984,1146,761,-3629,swipe_left,10
-3744,524,-17764,-445,1190,572,swipe_left,10
